task,name,input_count,reference_count,resolution,input_source,same_domain,pairing,degradation_profile,year_venue,citation_key,source_title,source_url,selected_evaluation
dehazing,RESIDE-RTTS,"4,322",0,Mixed,Real,No,Real unpaired,Traffic/urban natural haze,TIP 2019,li2018benchmarking,Benchmarking single-image dehazing and beyond,https://sites.google.com/view/reside-dehaze-datasets/reside-v0,no
dehazing,RESIDE-URHI,"4,807",0,Mixed,Real,No,Real unpaired,Outdoor mixed natural haze,TIP 2019,li2018benchmarking,Benchmarking single-image dehazing and beyond,https://sites.google.com/view/reside-dehaze-datasets/reside-v0,no
dehazing,HazyWater,"2,090","2,441",640×480,Real,Yes,Real unpaired,Overwater natural haze,ACCV 2020,zheng2020overwater,Overwater image dehazing via cycle-consistent generative adversarial network,,no
dehazing,VHD (real subset),"1,254",0,Mixed,Real,No,Real unpaired,Outdoor varicolored natural haze,CVPR 2022,li2022physically,Physically disentangled intra-and inter-domain adaptation for varicolored haze removal,,no
dehazing,HUDRS,522,"1,050",4608×3456,Real,Yes,Real unpaired,Outdoor roadside natural fog,TVC 2023,juneja2023hudrs,HUDRS: hazy unpaired dataset for road safety,,no
dehazing,IDD-AW-Fog,"1,500",0,Mixed,Real,No,Real unpaired,Unstructured traffic natural fog,WACV 2024,shaik2024idd,Idd-aw: A benchmark for safe and robust segmentation of drive scenes in unstructured traffic and adverse weather,,no
dehazing,Diff-Dehazer training set,"6,519","11,293",Mixed,Real,Partial,Real unpaired,Mixed real-world haze,AAAI 2025,Lan2025AAAI,Exploiting Diffusion Prior for Real-World Image Dehazing with Unpaired Training,https://doi.org/10.1609/aaai.v39i4.32469,no
deblurring,RealBlur-R/J,"4,738","4,738",680×773,Real,Yes,Real paired,Camera motion,ECCV 2020,rim2020real,Real-world blur dataset for learning and benchmarking deblurring algorithms,https://github.com/rimchang/RealBlur,no
deblurring,RealBlur-Tele,996,996,950×598,Real,Yes,Real paired,"Camera motion, telephoto",ECCV 2020,rim2020real,Real-world blur dataset for learning and benchmarking deblurring algorithms,https://github.com/rimchang/RealBlur,no
deblurring,DPDD,500,500,6720×4480,Real,Yes,Real paired,Defocus blur,ECCV 2020,abuolaim2020defocus,Defocus deblurring using dual-pixel data,https://github.com/Abdullah-Abuolaim/defocus-deblurring-dual-pixel,yes
deblurring,BS-RSCD,"4,000","4,000",640×460,Real,Yes,Real paired,Rolling-shutter motion,CVPR 2021,zhong2021towards,Towards rolling shutter correction and deblurring in dynamic scenes,,no
deblurring,RealDOF,50,50,2376×1586,Real,Yes,Real paired,Defocus blur,CVPR 2021,lee2021iterative,Iterative Filter Adaptive Network for Single Image Defocus Deblurring,,no
deblurring,RSBlur,"13,358","13,358",1920×1200,Real,Yes,Real paired,Camera and object motion,ECCV 2022,rim2022realistic,Realistic blur synthesis for learning image deblurring,,no
deblurring,ReLoBlur,"2,405","2,405",2152×1436,Real,Yes,Real paired,Object motion,AAAI 2023,li2023real,Real-world deep local motion deblurring,,no
deblurring,SDD,150,150,4096×2160,Real,Yes,"Real paired, misaligned",Defocus blur,AAAI 2023,li2023learning,Learning single image defocus deblurring with misaligned training pairs,,no
deblurring,RB2V-Street,"11,053","11,053",NR,Real,Yes,Real paired,Camera and object motion,CVPR 2023,pham2023hypercut,Hypercut: Video sequence from a single blurry image using unsupervised ordering,,no
deblurring,iDFD,764,764,NR,Real,Yes,Real paired,Defocus blur,SCIA 2023,nazir2023idfd,idfd: A dataset annotated for depth and defocus,,no
deblurring,BSD,"33,000","33,000",640×480,Real,Yes,Real paired,Camera and object motion,IJCV 2023,zhong2023real,Real-world video deblurring: A benchmark dataset and an efficient recurrent neural network,,no
deblurring,MC-Blur-LSD,"2,800","2,800",≥3600×2400,Real,Yes,Real paired,Defocus blur,TCSVT 2024,zhang2023mc,MC-Blur: A comprehensive benchmark for image deblurring,,no
deblurring,LPBlur,"10,288","10,288",224×112,Real,Yes,Real paired,"Object motion, license plate",IJCAI 2024,gong2024dataset,A dataset and model for realistic license plate deblurring,https://arxiv.org/abs/2404.13677,no
deblurring,QPDD,"4,935","4,935",mixed,Real,Yes,Real paired,Defocus blur,CVPR 2025,chen2025quad,Quad-Pixel Image Defocus Deblurring: A New Benchmark and Model,,no
deblurring,LICAM,400,400,1024×1024,Real,Yes,Real paired,Low-light motion and noise,ICIP 2025,montanaro2025novel,A novel method and dataset for depth-guided image deblurring from smartphone Lidar,,no
deblurring,EvRGB-Deblur,"1,000","1,000",624×840,Real,Yes,Real paired,Camera and object motion,ICCVW 2025,teng2025monochromatic,Monochromatic Event Guided Image Deblurring with Event-Triggering-Aware Decomposition,,no
deblurring,RSBlur-AIM2025 Extension,420,420,1920×1200,Real,Yes,Real paired,Camera and object motion,ICCVW 2025,feijoo2025efficient,Efficient real-world deblurring using single images: AIM 2025 challenge report,,no
deblurring,RealDefocus,"23,000","4,400",6000×4000,Real,Yes,Real paired,Defocus blur,ICCV 2025,seizinger2025bokehlicious,Bokehlicious: Photorealistic bokeh rendering with controllable apertures,,no
deblurring,Lai Real,100,0,mixed,Real,N/A,Real unpaired,Unspecified motion blur,CVPR 2016,lai2016comparative,A comparative study for single image blind deblurring,,no
deblurring,RWBI,"3,112",0,mixed,Real,N/A,Real unpaired,Unspecified motion blur,CVPR 2020,zhang2020deblurring,Deblurring by realistic blurring,,no
deblurring,Real-LOLBlur,"1,354",0,mixed,Real,N/A,Real unpaired,Low-light motion blur,ECCV 2022,zhou2022lednet,Lednet: Joint low-light enhancement and deblurring in the dark,,no
deblurring,LBLP,"2,779",0,mixed,Real,N/A,Real unpaired,"Motion blur, low-resolution plate",CVIU 2024,kim2024afa,AFA-Net: Adaptive Feature Attention Network in Image Deblurring and Super-Resolution for Improving License Plate Recognition,https://doi.org/10.1016/j.cviu.2023.103879,no
deblurring,MC-Blur-RMBQ,"10,000",0,mixed,Real,N/A,Real unpaired,Mixed real-world blur,TCSVT 2024,zhang2023mc,MC-Blur: A comprehensive benchmark for image deblurring,,no
deblurring,HCBlur-Real,471,0,3840×2160,Real,N/A,Real unpaired,Camera and object motion,SIGGRAPH 2024,rim2024deep,Deep hybrid camera deblurring for smartphone cameras,,no
deblurring,PhoneCraft,12,11,NR,Real,Yes,Real unpaired,Camera and object motion,CVPR 2024,pham2024blur2blur,Blur2blur: Blur conversion for unsupervised image deblurring on unknown domains,,no
deblurring,ReBlurSR-Real,"2,330",0,mixed,Real,N/A,Real unpaired,"Defocus and motion blur, SR",ECCV 2024,qin2024new,A new dataset and framework for real-world blurred images super-resolution,,no
deblurring,GyroBlur-Real,117,0,mixed,Real,N/A,Real unpaired,Camera motion,CVPR 2025,yang2025gyro,Gyro-based neural single image deblurring,,no
deblurring,HVD,180,0,NR,Real,N/A,Real unpaired,Handheld camera and object motion,CVPR 2026,xu2026selfhvd,Selfhvd: Self-supervised handheld video deblurring,,no
deblurring,GyroVD-Real,"10,000",0,NR,Real,N/A,Real unpaired,Camera motion,CVPR 2026,rim2026gyro,Gyro-based Deep Video Deblurring,,no
low-light,Phos,60,15,mixed,Real,Yes,Real paired,Multi-exposure; Controlled illumination,MST 2013,vonikakis2013biologically,A biologically inspired scale-space for illumination invariant feature detection,,no
low-light,SICE,"4,413",589,mixed,Real,Yes,Real paired,Multi-exposure; Multi-level illumination,TIP 2018,cai2018learning,Learning a deep single image contrast enhancer from multi-exposure images,https://csjcai.github.io/papers/SICE.pdf,no
low-light,LOL-v1,500,500,600×400,Real,Yes,Real paired,Global dim,BMVC 2018,wei2018deep,Deep retinex decomposition for low-light enhancement,https://arxiv.org/abs/1808.04560,no
low-light,Dark Zurich,"5,336+201","3,041+201",1920×1080,Real,Yes,Scene-level paired,Nighttime/twilight street; Complex illumination,ICCV 2019,sakaridis2019guided,Guided curriculum model adaptation and uncertainty-aware evaluation for semantic nighttime image segmentation,,no
low-light,LOL-v2-real,789,789,600×400,Real,Yes,Real paired,Global dim,TIP 2021,yang2021sparse,Sparse gradient regularized deep retinex network for robust low-light image enhancement,,no
low-light,VE-LOL-L-Cap,"1,500","1,500",1080×720,Real,Yes,Real paired,Multi-level illumination,IJCV 2021,liu2021benchmarking,Benchmarking low-light image enhancement and beyond,,no
low-light,SDSD,150 clips,150 clips,1920×1080,Real,Yes,Real paired,Extreme/photon-limited; Dynamic,ICCV 2021,wang2021seeing,Seeing dynamic scene in the dark: A high-quality video dataset with mechatronic alignment,,no
